Vibration,Height,Soil Moisture,Warning
7,1.5,20,1
7,1.5,22,0
7,1.5,21,1
5,1.5,29,0
10,1.5,23,1
10,1.5,20,1
8,1.5,30,1
5,1.5,26,0
1,1.5,23,0
4,1.5,23,0
6,1.5,26,0
1,1.5,27,0
7,1.5,20,1
4,1.5,29,0
1,1.5,24,0
9,1.5,26,1
6,1.5,29,0
5,1.5,20,1
6,1.5,27,0
8,1.5,23,1
3,1.5,29,0
5,1.5,29,0
2,1.5,27,0
8,1.5,25,1
8,1.5,21,1
4,1.5,24,0
10,1.5,26,1
3,1.5,21,1
4,1.5,24,0
6,1.5,30,0
3,1.5,29,0
9,1.5,29,1
4,1.5,30,0
5,1.5,20,1
10,1.5,30,1
10,1.5,24,1
8,1.5,28,1
10,1.5,21,1
7,1.5,29,0
1,1.5,27,0
1,1.5,28,0
10,1.5,22,1
5,1.5,28,0
1,1.5,26,0
7,1.5,24,0
9,1.5,22,1
2,1.5,25,0
5,1.5,21,1
10,1.5,24,1
5,1.5,28,0
7,1.5,28,0
8,1.5,25,1
5,1.5,26,0
2,1.5,25,0
3,1.5,30,0
2,1.5,28,0
1,1.5,25,0
2,1.5,20,1
10,1.5,21,1
4,1.5,21,1
4,1.5,30,0
8,1.5,25,1
6,1.5,24,0
6,1.5,26,0
3,1.5,29,0
2,1.5,28,0
3,1.5,27,0
7,1.5,24,0
7,1.5,22,0
5,1.5,26,0
4,1.5,23,0
2,1.5,23,0
6,1.5,28,0
9,1.5,22,1
2,1.5,24,0
3,1.5,20,1
1,1.5,29,0
3,1.5,24,0
1,1.5,26,0
1,1.5,28,0
4,1.5,23,0
7,1.5,21,1
7,1.5,28,0
7,1.5,24,0
2,1.5,23,0
4,1.5,26,0
2,1.5,24,0
6,1.5,22,0
1,1.5,23,0
6,1.5,22,0
4,1.5,21,1
1,1.5,22,0
10,1.5,24,1
3,1.5,25,0
2,1.5,23,0
9,1.5,28,1
4,1.5,22,0
2,1.5,26,0
2,1.5,25,0
3,1.5,30,0
